4736	13535	1825	2	3	2	116.3414171 40.0795484,116.3420562 40.0801667|4725,13535,116.3414171 40.0795484;6135,13535,116.3414171 40.0795484;5642,13535,116.3414171 40.0795484;8173,13535,116.3414171 40.0795484
7712	11773	2375	2	3	2	116.3186483 40.0870417,116.3196139 40.0875485|8002,11773,116.3186483 40.0870417;6336,11773,116.3186483 40.0870417;7599,11773,116.3186483 40.0870417;7460,11773,116.3186483 40.0870417;5611,11773,116.3186483 40.0870417;8414,11773,116.3186483 40.0870417;6678,11773,116.3186483 40.0870417
729	6005	9178	2	3	2	116.3224158 40.0436654,116.3237543 40.0441795|3785,6005,116.3224158 40.0436654;6474,6005,116.3224158 40.0436654;2464,6005,116.3224158 40.0436654;6545,6005,116.3224158 40.0436654
939	7752	13934	2	3	2	116.3267866 40.0305016,116.3288423 40.0310973|7063,7752,116.3267866 40.0305016;5306,7752,116.3267866 40.0305016;2069,7752,116.3267866 40.0305016
3313	5387	8826	2	3	2	116.3435338 40.0866996,116.3438886 40.0885511|26,5387,116.3435338 40.0866996;2637,5387,116.3435338 40.0866996;1662,5387,116.3435338 40.0866996;2632,5387,116.3435338 40.0866996
6963	13506	12841	2	3	2	116.3103421 40.0891099,116.3126423 40.0903045|426,13506,116.3103421 40.0891099;2700,13506,116.3103421 40.0891099;255,13506,116.3103421 40.0891099
1553	8027	575	2	3	2	116.3370929 40.0874546,116.3373639 40.0888876|6227,8027,116.3370929 40.0874546;7480,8027,116.3370929 40.0874546;6727,8027,116.3370929 40.0874546;495,8027,116.3370929 40.0874546
3995	16330	12271	2	3	2	116.3366979 40.0250083,116.3371178 40.0261946|7973,16330,116.3366979 40.0250083;5547,16330,116.3366979 40.0250083;5466,16330,116.3366979 40.0250083;2522,16330,116.3366979 40.0250083;2836,16330,116.3366979 40.0250083;2418,16330,116.3366979 40.0250083
4089	15126	7247	2	3	2	116.3105626 40.058253,116.311884 40.0603856|4576,15126,116.3105626 40.058253;7928,15126,116.3105626 40.058253
1933	14101	4769	2	3	2	116.2813457 40.0449154,116.2827815 40.0455721|1205,14101,116.2813457 40.0449154;36,14101,116.2813457 40.0449154;2588,14101,116.2813457 40.0449154;5129,14101,116.2813457 40.0449154
